DATE,MONTH,DAY,TIME,HOUR,MINUTE,PIT
10/5/18,10,5,17:41,17,41,773596
10/5/18,10,5,17:41,17,41,773596
10/5/18,10,5,17:41,17,41,773596
10/5/18,10,5,17:41,17,41,773596
10/5/18,10,5,17:41,17,41,773596
10/5/18,10,5,17:42,17,42,773596
10/5/18,10,5,17:42,17,42,773596
10/5/18,10,5,17:42,17,42,773596
10/5/18,10,5,19:27,19,27,773606
10/5/18,10,5,19:27,19,27,773606
10/5/18,10,5,19:27,19,27,773606
10/5/18,10,5,19:27,19,27,773606
10/5/18,10,5,19:27,19,27,773606
10/5/18,10,5,19:27,19,27,773606
10/5/18,10,5,19:27,19,27,773606
10/5/18,10,5,19:27,19,27,773606
10/5/18,10,5,19:27,19,27,773606
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:34,19,34,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
10/5/18,10,5,19:35,19,35,774780
